positive_type	Expected CSO	Predicted CSO	N
tp	Stomach, esophagus	Lymphoid lineage	0
tp	Stomach, esophagus	Melanocytic lineage	0
tp	Stomach, esophagus	Myeloid lineage	0
tp	Stomach, esophagus	Neuroendocrine cells	0
tp	Stomach, esophagus	Ovary	0
tp	Stomach, esophagus	Pancreas, gallbladder	0
tp	Stomach, esophagus	Plasma cell neoplasm	0
tp	Stomach, esophagus	Prostate	0
tp	Stomach, esophagus	Stomach, esophagus	92
tp	Stomach, esophagus	Thyroid gland	0
tp	Stomach, esophagus	Uterus	0
tp	Thyroid gland	Anus	0
tp	Thyroid gland	Bladder, urothelial	0
tp	Thyroid gland	Bone and soft tissue	0
tp	Thyroid gland	Breast	0
tp	Thyroid gland	Cervix	0
tp	Thyroid gland	Colon, rectum	0
tp	Thyroid gland	Head and neck	0
tp	Thyroid gland	Kidney	0
tp	Thyroid gland	Liver, bile duct	0
tp	Thyroid gland	Lung	0
tp	Thyroid gland	Lymphoid lineage	0
tp	Thyroid gland	Melanocytic lineage	0
tp	Thyroid gland	Myeloid lineage	0
tp	Thyroid gland	Neuroendocrine cells	0
tp	Thyroid gland	Ovary	0
tp	Thyroid gland	Pancreas, gallbladder	0
tp	Thyroid gland	Plasma cell neoplasm	0
tp	Thyroid gland	Prostate	0
tp	Thyroid gland	Stomach, esophagus	0
tp	Thyroid gland	Thyroid gland	0
tp	Thyroid gland	Uterus	0
tp	Uterus	Anus	0
tp	Uterus	Bladder, urothelial	0
tp	Uterus	Bone and soft tissue	2
tp	Uterus	Breast	1
tp	Uterus	Cervix	0
tp	Uterus	Colon, rectum	0
tp	Uterus	Head and neck	0
tp	Uterus	Kidney	0
tp	Uterus	Liver, bile duct	0
tp	Uterus	Lung	0
tp	Uterus	Lymphoid lineage	0
tp	Uterus	Melanocytic lineage	0
tp	Uterus	Myeloid lineage	0
tp	Uterus	Neuroendocrine cells	0
tp	Uterus	Ovary	1
tp	Uterus	Pancreas, gallbladder	0
tp	Uterus	Plasma cell neoplasm	0
tp	Uterus	Prostate	0
tp	Uterus	Stomach, esophagus	0
tp	Uterus	Thyroid gland	0
tp	Uterus	Uterus	40
fp	NoneExpected	Anus	0
fp	NoneExpected	Bladder, urothelial	0
fp	NoneExpected	Bone and soft tissue	0
fp	NoneExpected	Breast	0
fp	NoneExpected	Cervix	0
fp	NoneExpected	Colon, rectum	1
fp	NoneExpected	Head and neck	0
fp	NoneExpected	Kidney	0
fp	NoneExpected	Liver, bile duct	0
fp	NoneExpected	Lung	1
fp	NoneExpected	Lymphoid lineage	1
fp	NoneExpected	Melanocytic lineage	0
fp	NoneExpected	Myeloid lineage	0
fp	NoneExpected	Neuroendocrine cells	1
fp	NoneExpected	Ovary	0
fp	NoneExpected	Pancreas, gallbladder	0
fp	NoneExpected	Plasma cell neoplasm	1
fp	NoneExpected	Prostate	0
fp	NoneExpected	Stomach, esophagus	0
fp	NoneExpected	Thyroid gland	0
fp	NoneExpected	Uterus	1
