Sex	Lower	Upper	SEER_Draw	NET	Stage	Months	CSS	CSS_flag	OS	OS_flag	NCS
Male	40	44	Bladder	NET	IV	132	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	144	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	156	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	168	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	180	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	191	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	NotStaged	12	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	24	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	36	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	48	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	60	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	72	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	84	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	96	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	108	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	120	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	132	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	144	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	156	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	168	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	180	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	NotStaged	191	1	TRUE	1	TRUE	1
Male	40	44	Breast	NotExpected	I	12	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	I	24	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	I	36	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	I	48	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	I	60	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	I	72	1	FALSE	0.966	FALSE	0.966
Male	40	44	Breast	NotExpected	I	84	1	FALSE	0.966	FALSE	0.966
Male	40	44	Breast	NotExpected	I	96	0.955	FALSE	0.922	FALSE	0.9654450261780105
Male	40	44	Breast	NotExpected	I	108	0.955	FALSE	0.922	FALSE	0.9654450261780105
Male	40	44	Breast	NotExpected	I	120	0.955	FALSE	0.922	FALSE	0.9654450261780105
Male	40	44	Breast	NotExpected	I	132	0.955	FALSE	0.866	FALSE	0.9068062827225131
Male	40	44	Breast	NotExpected	I	144	0.955	FALSE	0.866	FALSE	0.9068062827225131
Male	40	44	Breast	NotExpected	I	156	0.955	FALSE	0.866	FALSE	0.9068062827225131
Male	40	44	Breast	NotExpected	I	168	0.955	FALSE	0.866	FALSE	0.9068062827225131
Male	40	44	Breast	NotExpected	I	180	0.955	FALSE	0.742	FALSE	0.7769633507853403
Male	40	44	Breast	NotExpected	I	191	0.955	TRUE	0.742	TRUE	0.7769633507853403
Male	40	44	Breast	NotExpected	II	12	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	II	24	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	II	36	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	II	48	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	II	60	0.975	FALSE	0.975	FALSE	1
Male	40	44	Breast	NotExpected	II	72	0.975	FALSE	0.975	FALSE	1
Male	40	44	Breast	NotExpected	II	84	0.925	FALSE	0.925	FALSE	1
Male	40	44	Breast	NotExpected	II	96	0.925	FALSE	0.925	FALSE	1
Male	40	44	Breast	NotExpected	II	108	0.891	FALSE	0.891	FALSE	1
Male	40	44	Breast	NotExpected	II	120	0.891	FALSE	0.852	FALSE	0.9562289562289562
Male	40	44	Breast	NotExpected	II	132	0.831	FALSE	0.795	FALSE	0.9562289562289562
Male	40	44	Breast	NotExpected	II	144	0.831	FALSE	0.795	FALSE	0.9562289562289562
Male	40	44	Breast	NotExpected	II	156	0.831	FALSE	0.795	FALSE	0.9562289562289562
Male	40	44	Breast	NotExpected	II	168	0.831	FALSE	0.795	FALSE	0.9562289562289562
Male	40	44	Breast	NotExpected	II	180	0.831	FALSE	0.795	FALSE	0.9562289562289562
Male	40	44	Breast	NotExpected	II	191	0.831	TRUE	0.795	TRUE	0.9562289562289562
Male	40	44	Breast	NotExpected	III	12	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	III	24	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	III	36	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	III	48	0.667	FALSE	0.667	FALSE	1
Male	40	44	Breast	NotExpected	III	60	0.667	FALSE	0.667	FALSE	1
Male	40	44	Breast	NotExpected	III	72	0.667	FALSE	0.667	FALSE	1
Male	40	44	Breast	NotExpected	III	84	0.667	FALSE	0.593	FALSE	0.8890554722638679
Male	40	44	Breast	NotExpected	III	96	0.583	FALSE	0.519	FALSE	0.8890554722638679
Male	40	44	Breast	NotExpected	III	108	0.5	FALSE	0.444	FALSE	0.888
Male	40	44	Breast	NotExpected	III	120	0.5	FALSE	0.444	FALSE	0.888
Male	40	44	Breast	NotExpected	III	132	0.5	FALSE	0.444	FALSE	0.888
Male	40	44	Breast	NotExpected	III	144	0.5	FALSE	0.444	FALSE	0.888
Male	40	44	Breast	NotExpected	III	156	0.5	FALSE	0.444	FALSE	0.888
Male	40	44	Breast	NotExpected	III	168	0.5	FALSE	0.444	FALSE	0.888
Male	40	44	Breast	NotExpected	III	180	0.5	TRUE	0.444	TRUE	0.888
Male	40	44	Breast	NotExpected	III	191	0.5	TRUE	0.444	TRUE	0.888
Male	40	44	Breast	NotExpected	IV	12	0.75	FALSE	0.75	FALSE	1
Male	40	44	Breast	NotExpected	IV	24	0.667	FALSE	0.667	FALSE	1
Male	40	44	Breast	NotExpected	IV	36	0.5	FALSE	0.5	FALSE	1
Male	40	44	Breast	NotExpected	IV	48	0.167	FALSE	0.167	FALSE	1
Male	40	44	Breast	NotExpected	IV	60	0.167	FALSE	0.167	FALSE	1
Male	40	44	Breast	NotExpected	IV	72	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	IV	84	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	IV	96	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	IV	108	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	IV	120	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	IV	132	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	IV	144	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	IV	156	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	IV	168	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	IV	180	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	IV	191	0	FALSE	0	FALSE	1
Male	40	44	Breast	NotExpected	NotStaged	12	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	NotStaged	24	1	FALSE	1	FALSE	1
Male	40	44	Breast	NotExpected	NotStaged	36	0.857	FALSE	0.875	FALSE	1
Male	40	44	Breast	NotExpected	NotStaged	48	0.714	FALSE	0.75	FALSE	1
Male	40	44	Breast	NotExpected	NotStaged	60	0.429	FALSE	0.5	FALSE	1
Male	40	44	Breast	NotExpected	NotStaged	72	0.429	FALSE	0.375	FALSE	0.8741258741258742
Male	40	44	Breast	NotExpected	NotStaged	84	0.429	FALSE	0.375	FALSE	0.8741258741258742
Male	40	44	Breast	NotExpected	NotStaged	96	0.214	FALSE	0.188	FALSE	0.8741258741258742
Male	40	44	Breast	NotExpected	NotStaged	108	0.214	FALSE	0.188	FALSE	0.8741258741258742
Male	40	44	Breast	NotExpected	NotStaged	120	0.214	FALSE	0.188	FALSE	0.8741258741258742
Male	40	44	Breast	NotExpected	NotStaged	132	0.214	FALSE	0.188	FALSE	0.8741258741258742
Male	40	44	Breast	NotExpected	NotStaged	144	0.214	FALSE	0.188	FALSE	0.8741258741258742
Male	40	44	Breast	NotExpected	NotStaged	156	0.214	TRUE	0.188	TRUE	0.8741258741258742
Male	40	44	Breast	NotExpected	NotStaged	168	0.214	TRUE	0.188	TRUE	0.8741258741258742
Male	40	44	Breast	NotExpected	NotStaged	180	0.214	TRUE	0.188	TRUE	0.8741258741258742
Male	40	44	Breast	NotExpected	NotStaged	191	0.214	TRUE	0.188	TRUE	0.8741258741258742
