Cancer	NET	Expected CSO	Sex	Predicted CSO	final_confusion	mode_found
Esophagus	No	Stomach, esophagus	Female	Neuroendocrine cells	0.0014010721247563354	cfdna
Esophagus	No	Stomach, esophagus	Male	Ovary	0	cfdna
Esophagus	No	Stomach, esophagus	Female	Ovary	8.122157244964263e-4	cfdna
Esophagus	No	Stomach, esophagus	Male	Pancreas, gallbladder	0.0024173027989821878	cfdna
Esophagus	No	Stomach, esophagus	Female	Pancreas, gallbladder	0.0023148148148148147	cfdna
Esophagus	No	Stomach, esophagus	Male	Plasma cell neoplasm	7.421543681085666e-4	cfdna
Esophagus	No	Stomach, esophagus	Female	Plasma cell neoplasm	7.106887589343731e-4	cfdna
Esophagus	No	Stomach, esophagus	Male	Prostate	9.754028837998302e-4	cfdna
Esophagus	No	Stomach, esophagus	Female	Prostate	0	cfdna
Esophagus	No	Stomach, esophagus	Male	Stomach, esophagus	0.8540147017246253	cfdna
Esophagus	No	Stomach, esophagus	Female	Stomach, esophagus	0.8539230019493177	cfdna
Esophagus	No	Stomach, esophagus	Male	Thyroid gland	2.120441051738762e-5	cfdna
Esophagus	No	Stomach, esophagus	Female	Thyroid gland	2.030539311241066e-5	cfdna
Esophagus	No	Stomach, esophagus	Male	Uterus	0	cfdna
Esophagus	No	Stomach, esophagus	Female	Uterus	0.001137102014294997	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Anus	3.9670613692372424e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Anus	3.798867246857301e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Bladder, urothelial	2.885135541263449e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Bladder, urothelial	2.762812543168946e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Bone and soft tissue	3.0654565125924144e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Bone and soft tissue	2.935488327117005e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Breast	0.002885135541263449	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Breast	0.002762812543168946	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Cervix	0	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Cervix	1.381406271584473e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Colon, rectum	0.018957744785718576	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Colon, rectum	0.018821660450338444	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Head and neck	0.0019474664903528281	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Head and neck	0.0018648984666390384	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Kidney	0.008198593496423634	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Kidney	0.008184832159138001	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Liver, bile duct	0.0481456993448338	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Liver, bile duct	0.048107473407929265	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Lung	0.02009376690509106	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Lung	0.019909517889211213	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Lymphoid lineage	0.0022540121416120694	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Lymphoid lineage	0.002158447299350739	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Melanocytic lineage	1.262246799302759e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Melanocytic lineage	1.2087304876364139e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Myeloid lineage	1.8032097132896557e-5	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Myeloid lineage	1.7267578394805913e-5	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Neuroendocrine cells	0.016992246198232853	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Neuroendocrine cells	0.0169394944053046	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Ovary	0	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Ovary	6.907031357922365e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Pancreas, gallbladder	0.8209532968684257	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Pancreas, gallbladder	0.8208661417322833	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Plasma cell neoplasm	6.311233996513794e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Plasma cell neoplasm	6.04365243818207e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Prostate	8.294764681132414e-4	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Prostate	0	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Stomach, esophagus	0.056957384143775915	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Stomach, esophagus	0.05687940323249067	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Thyroid gland	1.8032097132896557e-5	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Thyroid gland	1.7267578394805913e-5	cfdna
Gallbladder	No	Pancreas, gallbladder	Male	Uterus	0	cfdna
Gallbladder	No	Pancreas, gallbladder	Female	Uterus	9.669843901091311e-4	cfdna
Head and Neck	No	Head and neck	Male	Anus	5.476269498838366e-4	cfdna
Head and Neck	No	Head and neck	Female	Anus	5.244088482074753e-4	cfdna
Head and Neck	No	Head and neck	Male	Bladder, urothelial	3.9827414537006305e-4	cfdna
Head and Neck	No	Head and neck	Female	Bladder, urothelial	3.8138825324180017e-4	cfdna
Head and Neck	No	Head and neck	Male	Bone and soft tissue	4.2316627945569187e-4	cfdna
Head and Neck	No	Head and neck	Female	Bone and soft tissue	4.0522501906941266e-4	cfdna
Head and Neck	No	Head and neck	Male	Breast	0.014852306671091933	cfdna
Head and Neck	No	Head and neck	Female	Breast	0.014683447749809304	cfdna
Head and Neck	No	Head and neck	Male	Cervix	0	cfdna
Head and Neck	No	Head and neck	Female	Cervix	1.9069412662090009e-4	cfdna
Head and Neck	No	Head and neck	Male	Colon, rectum	0.00443079986724195	cfdna
Head and Neck	No	Head and neck	Female	Colon, rectum	0.004242944317315026	cfdna
Head and Neck	No	Head and neck	Male	Head and neck	0.904862263524726	cfdna
Head and Neck	No	Head and neck	Female	Head and neck	0.9047482837528603	cfdna
Head and Neck	No	Head and neck	Male	Kidney	4.480584135413209e-4	cfdna
Head and Neck	No	Head and neck	Female	Kidney	4.2906178489702525e-4	cfdna
Head and Neck	No	Head and neck	Male	Liver, bile duct	0.0012446067042814466	cfdna
Head and Neck	No	Head and neck	Female	Liver, bile duct	0.0011918382913806253	cfdna
Head and Neck	No	Head and neck	Male	Lung	0.060346830401593075	cfdna
Head and Neck	No	Head and neck	Female	Lung	0.06009248665141113	cfdna
Head and Neck	No	Head and neck	Male	Lymphoid lineage	0.0031115167607036172	cfdna
Head and Neck	No	Head and neck	Female	Lymphoid lineage	0.0029795957284515636	cfdna
Head and Neck	No	Head and neck	Male	Melanocytic lineage	1.742449385994026e-4	cfdna
Head and Neck	No	Head and neck	Female	Melanocytic lineage	1.6685736079328757e-4	cfdna
Head and Neck	No	Head and neck	Male	Myeloid lineage	2.489213408562894e-5	cfdna
Head and Neck	No	Head and neck	Female	Myeloid lineage	2.383676582761251e-5	cfdna
Head and Neck	No	Head and neck	Male	Neuroendocrine cells	0.0017175572519083967	cfdna
Head and Neck	No	Head and neck	Female	Neuroendocrine cells	0.0016447368421052633	cfdna
Head and Neck	No	Head and neck	Male	Ovary	0	cfdna
Head and Neck	No	Head and neck	Female	Ovary	9.534706331045003e-4	cfdna
Head and Neck	No	Head and neck	Male	Pancreas, gallbladder	0.0028377032857616986	cfdna
Head and Neck	No	Head and neck	Female	Pancreas, gallbladder	0.0027173913043478256	cfdna
Head and Neck	No	Head and neck	Male	Plasma cell neoplasm	8.712246929970127e-4	cfdna
Head and Neck	No	Head and neck	Female	Plasma cell neoplasm	8.342868039664379e-4	cfdna
